Model Name,Training Time,Train Loss,Train Acc,Test Acc,Num Params
VGG 1 Block,72.28820061683655,0.02056564949452877,1.0,0.824999988079071,33556481
VGG 3 Block,73.74451398849487,0.0011945724254474044,1.0,0.824999988079071,8759681
VGG 3 Block with Argumentation,75.15016341209412,0.3559158444404602,0.84375,0.75,8759681
VGG 16,55.661988496780396,6.138817809642205e-08,1.0,0.8500000238418579,15763521
MLP18,29.99000883102417,0.1929376870393753,0.856249988079071,0.675000011920929,17832193
MLP135,202.6822545528412,39.535377502441406,0.981249988079071,0.699999988079071,135390001
